# conv units database -- Jaime Ortiz
# ======================================================================
# FROM       TO              FACTOR             CONSTANT        EXPONENT
# AREA
nmi          mm              1.852e6            0.0             1.0
nmi          nmi             1.0                0.0             1.0
nmi          yd            2025.37              0.0             1.0
nmi          ft           6076.12               0.0             1.0
nmile        cm         185200.0                0.0             1.0
nmile        in          72913.4                0.0             1.0
nmile        km              1.852              0.0             1.0
nmile        m            1852.0                0.0             1.0
nmile        mi              1.15078            0.0             1.0
nmile        mm              1.852e6            0.0             1.0
nmile        nmile           1.0                0.0             1.0
nmile        yd           2025.37               0.0             1.0
nmile        ft           6076.12               0.0             1.0
parsec       AU         206264.806              0.0             1.0
pc           AU         206264.806              0.0             1.0
parsec       ly              3.26163344         0.0             1.0
parsec       lightyear       3.26163344         0.0             1.0
pc           ly              3.26163344         0.0             1.0
pc           lightyear       3.26163344         0.0             1.0
yd           cm             91.44               0.0             1.0
yd           ft              3.0                0.0             1.0
yd           in             36.0                0.0             1.0
yd           km              0.0009144          0.0             1.0
yd           m               0.9144             0.0             1.0
yd           mm            914.4                0.0             1.0
yd           mi              0.000568182        0.0             1.0
yd           nmi             0.000493737        0.0             1.0
yd           nmile           0.000493737        0.0             1.0
yd           nauticalmile    0.000493737        0.0             1.0
yd           yd              1.0                0.0             1.0
# VELOCITY
mph          m/s             0.4472222222       0.0             1.0
mph          km/h            1.61               0.0             1.0
m/s          mph             2.2360248          0.0             1.0
m/s          km/h            3.6                0.0             1.0
km/h         m/s             2.7777777778       0.0             1.0

